Kabupaten/Kota,Latitude,Longitude
Puncak,-4.14204,137.09702
Puncak Jaya,-3.67241,137.43896
Kuantan Singingi,-0.47532,101.45857
Indragiri Hulu,-0.55,102.31667
Indragiri Hilir,-0.33333,103.16667
Pelalawan,0.20822,102.18607
Siak,0.97453,102.01355
Kampar,0.2344,101.2131
Rokan Hulu,0.88333,100.48333
Bengkalis,0.9838,102.5096
Rokan Hilir,2.16599,100.82514
Kepulauan Meranti,0.97488,102.69539
Kota Pekanbaru,0.53333,101.46667
Kota Dumai,1.61592,101.4917
Majene,-3.15,118.86667
Polewali Mandar,-3.3,119.16667
Mamasa,-2.96492,119.30631
Mamuju,-2.5,119.41667
Mamuju Utara,-1.51639,119.42139
Mamuju Tengah,-2.8212,119.2662
Kepulauan Selayar,-6.81667,120.8
Bulukumba,-5.41667,120.23333
Bantaeng,-5.48333,119.98333
Jeneponto,-5.63333,119.73333
Takalar,-5.41667,119.51667
Gowa,-5.31667,119.75
Sinjai,-5.21667,120.15
Maros,-5.05,119.71667
Pangkajene Dan Kepulauan,-4.7827,119.5506
Barru,-4.43333,119.68333
Bone,-4.7,120.13333
Soppeng,-4.3842,119.89
Wajo,-4.0,120.16667
Sidenreng Rappang,-3.85,119.96667
Pinrang,-3.61667,119.6
Enrekang,-3.5,119.86667
Luwu,-2.5577,121.3242
Tana Toraja,-3.0024,119.79655
Luwu Utara,-2.6,120.25
Luwu Timur,-2.50957,120.3978
Toraja Utara,-2.92738,119.79218
Kota Makassar,-5.15,119.45
Kota Parepare,-4.03333,119.65
Kota Palopo,-2.97841,120.11078
Banggai Kepulauan,-1.6424,123.54881
Banggai,-1.2835,122.8892
Morowali,-1.89342,121.25473
Poso,-1.65,120.5
Donggala,-0.58333,119.85
Toli-Toli,1.30862,120.88643
Buol,0.75,120.75
Parigi Moutong,0.3368,120.17841
Tojo Una-Una,-1.2036,121.48201
Sigi,-1.385,119.96694
Banggai Laut,-1.61841,123.49388
Morowali Utara,-1.7207,121.24649
Kota Palu,-0.86972,119.9
Buton,-5.31667,122.58333
Muna,-4.96667,122.66667
Konawe,-3.91717,122.08823
Kolaka,-4.08333,121.66667
Konawe Selatan,-4.19191,122.44854
Bombana,-4.6257,121.81641
Wakatobi,-5.31934,123.5948
Kolaka Utara,-3.10452,121.12427
Buton Utara,-5.01457,122.93015
Konawe Utara,-3.41552,121.99081
Kolaka Timur,-4.01807,121.86172
Konawe Kepulauan,-4.11656,123.10181
Muna Barat,-4.83333,122.48333
Buton Tengah,-5.31667,122.33333
Buton Selatan,-5.56667,122.7
Kota Kendari,-3.98333,122.5
Kota Baubau,-5.477,122.6166
Bolaang Mongondow,0.75,124.08333
Minahasa,1.2537,124.83
Kepulauan Sangihe,3.5,125.55
Kepulauan Talaud,4.31178,126.78085
Minahasa Selatan,1.21291,124.59708
Minahasa Utara,1.4025,124.96
Bolaang Mongondow Utara,0.78527,123.41766
Siau Tagulandang Biaro,2.11728,125.37512
Minahasa Tenggara,1.05633,124.7925
Bolaang Mongondow Selatan,0.40912,123.75961
Bolaang Mongondow Timur,0.72073,124.50256
Kota Manado,1.51667,124.88333
Kota Bitung,1.48333,125.15
Kota Tomohon,1.31307,124.83404
Kota Kotamobagu,0.68915,124.32678
Kepulauan Mentawai,1.98917,99.51889
Pesisir Selatan,-1.58333,100.85
Kab. Solok,-0.96667,100.81667
Sijunjung,-1.1827,101.6056
Tanah Datar,-0.4555,100.5771
Padang Pariaman,-0.6,100.28333
Agam,-0.25,100.16667
Lima Puluh Kota,-0.0168,100.5872
Pasaman,0.42503,99.94606
Solok Selatan,-1.23333,101.417
Dharmasraya,-1.05,101.367
Pasaman Barat,0.28152,99.51965
Kota Padang,-0.98333,100.45
Kota Solok,-0.96667,100.81667
Kota Sawah Lunto,-0.6,100.75
Kota Padang Panjang,-0.45,100.43333
Kota Bukittinggi,-0.275,100.375
Kota Payakumbuh,-0.23333,100.63333
Kota Pariaman,-0.62682,100.12047
Ogan Komering Ulu,-4.13333,104.03333
